E + GRAIN0 -> GRAIN-
HE+ + H2CS -> S+ + CH2 + HE
HE+ + H2CS -> CS+ + H2 + HE
HE+ + H2CS -> CH2+ + S + HE
HE+ + H2S2 -> HS+ + HS + HE
HE+ + H2S2 -> S2H+ + H + HE
HE+ + H2SIO -> HSIO+ + H + HE
HE+ + HCCP -> CH+ + CP + HE
HE+ + HCCP -> CP+ + CH + HE
HE+ + NH3 -> NH+ + H2 + HE
HE+ + NH3 -> NH2+ + H + HE
HE+ + NH3 -> NH3+ + HE
HE+ + SIC2H -> SI+ + C2H + HE
HE+ + SIC2H -> SIC2+ + H + HE
HE+ + SIC3 -> SIC2+ + C + HE
HE+ + SICH2 -> SIH+ + CH + HE
HE+ + SICH2 -> CHSI+ + H + HE
HE+ + SIH3 -> SIH+ + H2 + HE
